seed,ft_task,task,perfection_gap_factor
initial,Visual_Similarity,Visual_Similarity,0.5499999999999995
initial,Visual_Similarity,Art_Style,0.12195121951219508
initial,Visual_Similarity,Visual_Correspondence,-0.4528301886792454
initial,Visual_Similarity,Relative_Depth,0.12500000000000028
initial,Visual_Similarity,Relative_Reflectance,0.16666666666666666
initial,Visual_Similarity,Spatial_Relation,0.062499999999999445
initial,Visual_Similarity,Jigsaw,0.49999999999999983
initial,Visual_Similarity,Counting,0.0
initial,Visual_Similarity,Functional_Correspondence,-0.020833333333333356
initial,Visual_Similarity,Semantic_Correspondence,-0.13750000000000007
initial,Visual_Similarity,Multi-view_Reasoning,0.08750000000000001
initial,Visual_Similarity,Object_Localization,0.06666666666666671
initial,Visual_Similarity,Forensic_Detection,-0.2816901408450704
initial,Art_Style,Visual_Similarity,-0.05000000000000048
initial,Art_Style,Art_Style,0.3170731707317074
initial,Art_Style,Visual_Correspondence,-0.3773584905660377
initial,Art_Style,Relative_Depth,0.18750000000000014
initial,Art_Style,Relative_Reflectance,0.11111111111111108
initial,Art_Style,Spatial_Relation,0.43749999999999994
initial,Art_Style,Jigsaw,0.2413793103448278
initial,Art_Style,Counting,-0.02564102564102593
initial,Art_Style,Functional_Correspondence,-0.010416666666666727
initial,Art_Style,Semantic_Correspondence,-0.11250000000000011
initial,Art_Style,Multi-view_Reasoning,0.09999999999999991
initial,Art_Style,Object_Localization,0.05000000000000003
initial,Art_Style,Forensic_Detection,0.07042253521126762
initial,Visual_Correspondence,Visual_Similarity,0.29999999999999905
initial,Visual_Correspondence,Art_Style,0.0
initial,Visual_Correspondence,Visual_Correspondence,0.641509433962264
initial,Visual_Correspondence,Relative_Depth,0.3125000000000004
initial,Visual_Correspondence,Relative_Reflectance,-0.011111111111111098
initial,Visual_Correspondence,Spatial_Relation,0.1874999999999996
initial,Visual_Correspondence,Jigsaw,0.20689655172413826
initial,Visual_Correspondence,Counting,0.025641025641025494
initial,Visual_Correspondence,Functional_Correspondence,0.020833333333333308
initial,Visual_Correspondence,Semantic_Correspondence,-0.15000000000000005
initial,Visual_Correspondence,Multi-view_Reasoning,0.037499999999999936
initial,Visual_Correspondence,Object_Localization,0.13333333333333328
initial,Visual_Correspondence,Forensic_Detection,-0.08450704225352101
initial,Relative_Depth,Visual_Similarity,0.14999999999999952
initial,Relative_Depth,Art_Style,-0.024390243902438935
initial,Relative_Depth,Visual_Correspondence,-0.09433962264150966
initial,Relative_Depth,Relative_Depth,0.6562499999999999
initial,Relative_Depth,Relative_Reflectance,-0.03333333333333335
initial,Relative_Depth,Spatial_Relation,-0.18750000000000086
initial,Relative_Depth,Jigsaw,-0.15517241379310326
initial,Relative_Depth,Counting,0.0
initial,Relative_Depth,Functional_Correspondence,-0.09375000000000001
initial,Relative_Depth,Semantic_Correspondence,-0.17500000000000004
initial,Relative_Depth,Multi-view_Reasoning,-0.08750000000000001
initial,Relative_Depth,Object_Localization,-0.05000000000000003
initial,Relative_Depth,Forensic_Detection,-0.15492957746478878
initial,Relative_Reflectance,Visual_Similarity,0.1
initial,Relative_Reflectance,Art_Style,0.12195121951219508
initial,Relative_Reflectance,Visual_Correspondence,-0.2830188679245285
initial,Relative_Reflectance,Relative_Depth,0.3125000000000004
initial,Relative_Reflectance,Relative_Reflectance,0.08888888888888888
initial,Relative_Reflectance,Spatial_Relation,0.12500000000000017
initial,Relative_Reflectance,Jigsaw,-0.08620689655172419
initial,Relative_Reflectance,Counting,-0.02564102564102593
initial,Relative_Reflectance,Functional_Correspondence,-0.010416666666666727
initial,Relative_Reflectance,Semantic_Correspondence,-0.17500000000000004
initial,Relative_Reflectance,Multi-view_Reasoning,0.07499999999999998
initial,Relative_Reflectance,Object_Localization,0.09999999999999991
initial,Relative_Reflectance,Forensic_Detection,0.014084507042253525
initial,Spatial_Relation,Visual_Similarity,-0.05000000000000048
initial,Spatial_Relation,Art_Style,-0.12195121951219508
initial,Spatial_Relation,Visual_Correspondence,-0.4528301886792454
initial,Spatial_Relation,Relative_Depth,0.4062500000000005
initial,Spatial_Relation,Relative_Reflectance,0.011111111111111098
initial,Spatial_Relation,Spatial_Relation,0.12500000000000017
initial,Spatial_Relation,Jigsaw,0.0
initial,Spatial_Relation,Counting,0.07692307692307693
initial,Spatial_Relation,Functional_Correspondence,0.03124999999999994
initial,Spatial_Relation,Semantic_Correspondence,-0.11250000000000011
initial,Spatial_Relation,Multi-view_Reasoning,0.049999999999999954
initial,Spatial_Relation,Object_Localization,0.016666666666666677
initial,Spatial_Relation,Forensic_Detection,-0.08450704225352101
initial,Jigsaw,Visual_Similarity,0.2
initial,Jigsaw,Art_Style,0.12195121951219508
initial,Jigsaw,Visual_Correspondence,-0.3584905660377357
initial,Jigsaw,Relative_Depth,-0.031249999999999657
initial,Jigsaw,Relative_Reflectance,0.033333333333333395
initial,Jigsaw,Spatial_Relation,0.0
initial,Jigsaw,Jigsaw,0.7931034482758621
initial,Jigsaw,Counting,-0.07692307692307693
initial,Jigsaw,Functional_Correspondence,-0.020833333333333356
initial,Jigsaw,Semantic_Correspondence,-0.17500000000000004
initial,Jigsaw,Multi-view_Reasoning,0.024999999999999918
initial,Jigsaw,Object_Localization,0.016666666666666677
initial,Jigsaw,Forensic_Detection,-0.23943661971830993
initial,Counting,Visual_Similarity,-0.700000000000001
initial,Counting,Art_Style,0.14634146341463403
initial,Counting,Visual_Correspondence,-0.5660377358490566
initial,Counting,Relative_Depth,0.0
initial,Counting,Relative_Reflectance,0.0666666666666667
initial,Counting,Spatial_Relation,-0.43749999999999994
initial,Counting,Jigsaw,-0.2586206896551724
initial,Counting,Counting,0.025641025641025494
initial,Counting,Functional_Correspondence,-0.020833333333333356
initial,Counting,Semantic_Correspondence,-0.13750000000000007
initial,Counting,Multi-view_Reasoning,0.06249999999999997
initial,Counting,Object_Localization,-0.05000000000000003
initial,Counting,Forensic_Detection,0.08450704225352115
initial,Functional_Correspondence,Visual_Similarity,-1.3500000000000005
initial,Functional_Correspondence,Art_Style,0.04878048780487787
initial,Functional_Correspondence,Visual_Correspondence,-0.7358490566037736
initial,Functional_Correspondence,Relative_Depth,-0.1562499999999994
initial,Functional_Correspondence,Relative_Reflectance,0.13333333333333328
initial,Functional_Correspondence,Spatial_Relation,0.062499999999999445
initial,Functional_Correspondence,Jigsaw,-0.29310344827586193
initial,Functional_Correspondence,Counting,-0.02564102564102593
initial,Functional_Correspondence,Functional_Correspondence,0.08333333333333329
initial,Functional_Correspondence,Semantic_Correspondence,-0.37500000000000006
initial,Functional_Correspondence,Multi-view_Reasoning,0.07499999999999998
initial,Functional_Correspondence,Object_Localization,0.14999999999999994
initial,Functional_Correspondence,Forensic_Detection,-0.26760563380281693
initial,Semantic_Correspondence,Visual_Similarity,-0.3500000000000005
initial,Semantic_Correspondence,Art_Style,0.3170731707317074
initial,Semantic_Correspondence,Visual_Correspondence,0.5660377358490566
initial,Semantic_Correspondence,Relative_Depth,0.12500000000000028
initial,Semantic_Correspondence,Relative_Reflectance,-0.022222222222222195
initial,Semantic_Correspondence,Spatial_Relation,0.0
initial,Semantic_Correspondence,Jigsaw,-0.27586206896551696
initial,Semantic_Correspondence,Counting,-0.02564102564102593
initial,Semantic_Correspondence,Functional_Correspondence,0.125
initial,Semantic_Correspondence,Semantic_Correspondence,0.12499999999999997
initial,Semantic_Correspondence,Multi-view_Reasoning,0.07499999999999998
initial,Semantic_Correspondence,Object_Localization,0.14999999999999994
initial,Semantic_Correspondence,Forensic_Detection,0.0563380281690141
initial,Multi-view_Reasoning,Visual_Similarity,0.24999999999999953
initial,Multi-view_Reasoning,Art_Style,0.0
initial,Multi-view_Reasoning,Visual_Correspondence,-0.5283018867924526
initial,Multi-view_Reasoning,Relative_Depth,0.18750000000000014
initial,Multi-view_Reasoning,Relative_Reflectance,-0.07777777777777778
initial,Multi-view_Reasoning,Spatial_Relation,0.12500000000000017
initial,Multi-view_Reasoning,Jigsaw,0.086206896551724
initial,Multi-view_Reasoning,Counting,0.0
initial,Multi-view_Reasoning,Functional_Correspondence,0.020833333333333308
initial,Multi-view_Reasoning,Semantic_Correspondence,-0.06250000000000004
